file	source_kind	pages	text_bytes	status
athinarayanan_2019_nutritional_ketosis_2yr_frontiers	pdf	22	169730	text_extracted
bhanpuri_2018_nutritional_ketosis_1yr_cardiometab	pdf	16	95940	text_extracted
boren_2020_eas_ldl_pathophysiology_ehj	pdf	28	413486	text_extracted
budoff_2024_keto_trial_jaccadv	pdf	8	50515	text_extracted
buren_2021_lchf_healthy_women_nutrients	pdf	12	71480	text_extracted
ference_2017_eas_ldl_causality_ehj	pdf	14	172181	text_extracted
iatan_2024_lchf_ukb_jaccadv	pdf	14	87521	text_extracted
norwitz_2022_lmhr_cdn	pdf	10	62479	text_extracted
qadir_2025_apob_retention_therapies_frontiers	pdf	19	151253	text_extracted
xie_2023_glycation_ldl_frontiers	pdf	7	61834	text_extracted
boussageon_2011_intensive_glucose_meta_bmj	html_or_abstract		49861	text_saved
ctt_2010_intensive_ldl_lowering_lancet	html_or_abstract		65077	text_saved
ctt_2008_diabetes_ldl_lowering_lancet	html_or_abstract		4538	text_saved
marston_2022_apob_lipid_markers_jamacardiol	html_or_abstract		10340	text_saved
sniderman_2024_apob_discordance_ehj	html_or_abstract		6536	text_saved
esc_2023_diabetes_cvd_guideline_pubmed	html_or_abstract		8479	text_saved
ada_2026_cvd_risk_standards_diabetes_care	html_or_abstract		3400	text_saved
esc_eas_2025_focused_update_dyslipidaemia_esc_page	html_or_abstract		12707	text_saved
fourier_2017_evolocumab_nejm_pubmed	html_or_abstract		57829	text_saved
glp1ra_2021_cv_kidney_meta_lancet_pubmed	html_or_abstract		10460	text_saved
goldenberg_2021_low_carb_t2d_bmj	html_or_abstract		77068	text_saved
holm_2015_t2d_interstitial_lipoproteins_jlr	html_or_abstract		42199	text_saved
improve_it_2015_ezetimibe_nejm_pubmed	html_or_abstract		93028	text_saved
mcguire_2021_sglt2_cv_kidney_meta_jamacardiol	html_or_abstract		66049	text_saved
nicholls_2023_bempedoic_primary_prevention_jama	html_or_abstract		55898	text_saved
nla_2019_low_carb_press_release	html_or_abstract		7228	text_saved
nla_2019_low_carb_scientific_statement_pubmed	html_or_abstract		4853	text_saved
nla_2024_apob_consensus_pubmed	html_or_abstract		4422	text_saved
nla_2024_apob_consensus_page	html_or_abstract		14034	text_saved
odyssey_2018_alirocumab_nejm_pubmed	html_or_abstract		98677	text_saved
norwitz_2022_lmhr_case_report_frontiers	html_or_abstract		4159	text_saved
goldberg_2021_ketogenic_diets_not_for_everyone_jacl	html_or_abstract		5312	text_saved
keto_cta_2026_retraction_pubmed	html_or_abstract		1479	text_saved
